,slug,description
13,chem-crush,"Florida OG, aka Crippy or Ocean Grown, is the creation of DNA Genetics in Amsterdam. Several sources claim this is the original OG Kush strain from which all OG Kush genetics spring, the OG of OGs. It’s a phenotype borne of crossing Chemdawg with a mix of Lemon Thai and Hindu Kush Pakistan. The top reported aromas of Florida OG are tropical fruit, earth, and pine. And it is said to taste similar. Florida OG is an indica-dominant cross between Chemdawg and a mix of Lemon Thai and Hindu Kush Pakistan. It produces medium-to-tall plants that are sturdy and highly resinous thanks to its old-world genetics. Florida OG has an average flowering time between 56 and 63 days indoors and October outdoors. It is known to produce medium yields in ideal conditions though experienced gardeners employing super cropping can tease out larger yields. Florida OG grows well indoors and out. Florida OG is available as seeds and clones."
14,florida-og,"Sour Tsunami is a Sativa-dominant hybrid that was first bred by Lawrence Ringo of the Southern Humboldt Seed Collective. After crossing an NYC Diesel with the Sour Diesel strain and back-crossing it with a Sour Diesel clone, Ringo then crossed the resulting genetics, which he named Double Diesel, to a West Coast Sativa-dominant strain called Ferrari. In 2010, Ringo then crossed those genes back with Sour Diesel, and the CBD-rich strain known as Sour Tsunami was officially bred. When grown from seeds, the strain is known for producing several phenotypes, of which about 25 percent will produce CBD-rich flowers. The strain won second place in 2018 for best CBD flower at Colorado’s famed Rooster Cup. Sour Tsunami grows medium-tall plants that when left untrained produce mature, conical shaped buds by mid-October when grown outside in the Northern Hemisphere, mid-April in the Southern Hemisphere. When Sour Tsunami is cultivated indoors, growers can anticipate the strain’s buds to finish approximately 60 to 65 days after the light cycle has been switched from veg to flower."
15,sour-tsunami,"Enigma by Alphakronik Genes is a combination of Blue Dream and a backcross of Snowdawg. The top reported aromas of the Enigma strain are lemon, flowers, diesel, and skunk. It is said to taste like citrus, flowers, and pepper. Enigma is an indica-leaning hybrid that grows into short, bushy plants with strong lateral branches. The strain grows well indoors and outdoors, producing rich violet coloring when exposed to colder temperatures late in its flowering period. Enigma reaches full maturity in 63 to 70 days indoors and late October outside. In ideal conditions, Enigma produces low yields, or about 12 ounces per plant. Enigma is available as seeds and clones."
16,enigma,"Purple Dog Shit is a cultivar of unconfirmed origins thought to be a combination of Dog Shit and Purple Urkle. The top reported aromas of the Purple Dog Shit strain are earth, pungent skunk, and grapes. It is said to taste of grapes, wood, and herbs. Purple Dog Shit is an easygoing, indica-leaning hybrid that produces short plants with thick, sturdy branches. The strain requires occasional pruning to allow light and air to penetrate its dense foliage. Purple Dog Shit flowers in 49 to 63 days indoors and produces higher yields when raised with the Sea of Green (SOG) method. Outdoor gardens flower in mid-October and produce at least 12 ounces of flower per plant, a below-average yield. Purple Dog Shit is unavailable as seeds or clones."
17,purple-dog-shit,"Carpet Tape is a cultivar of unknown origins thought by online sources to be a combination of GG #4 and Rug Burn OG. The top reported aromas of the Carpet Tape strain are diesel, skunk, and citrus. It is said to taste of earth, spices, citrus, and musk. Carpet Tape is a balanced hybrid with medium-size plants that thrive in both indoor and outdoor environments. Its bushy foliage may require regular trimming to allow light penetration and air circulation as it grows. The strain reaches maturity in 49 to 63 days indoors and mid-October outside. Carpet Tape is unavailable as seeds or clones."
18,carpet-tape,"Bogglegum is a hybrid from California seed bank BOG Seeds, bred from its own BOG Bubble female and a Northern Lights #5 male from Canadian seed bank BC Seeds, BOG co-founder Pat, aka “Mrs. BOG,” told Weedmaps. Winner of 1st place for Indica flower at the San Francisco High Times Medical Cannabis Cup in 2011, BOG reports Bogglegum has the strong bubblegum flavor of its BOG Bubble mother, coupled with hints of menthol from its Northern Lights #5 father. BOG recommends Bogglegum to both novice and outdoor growers who want to avoid mold or cold-weather damage, as the strain is resistant to both. BOG also reports a 48-56 day flowering time. With an outdoor harvest date of approximately Oct. 7 in the Northern Hemisphere, and early March in the Southern Hemisphere, Bogglegum presents high yields of branches with many small colas, a roughly 70/30 Indica/Sativa plant lineage and estimated average THC levels of 21-25%. Regular Bogglegum seeds are available from BOG Seeds."
19,bogglegum,"Banana Bread is the name referring to multiple cannabis strains currently on the market. Origin 1: Banana Bread by Holy Smoke Holy Smoke’s version of Banana Bread is a combination of Purple Kush and Vietnamese Black. The top reported aromas of the Banana Bread strain are bananas and berries, and it is said to taste the same. Origin 2: Banana Bread by Forbidden Genetics Forbidden Genetics’ Banana Bread is a combination of Lamb’s Bread and Banana OG. The top reported aromas of the Banana Bread strain are gas and tropical fruit. It is said to taste of bananas and diesel. Origin 1: Banana Bread by Holy Smoke This Banana Bread produces tall-growing, violet-hued plants with long fan leaves. The strain reaches full maturity in approximately 63 days indoors and early October outside. Holy Smoke’s Banana Bread develops massive colas with intense aromas that may require some odor-masking techniques. Origin 2: Banana Bread by Forbidden Genetics Forbidden Genetics’ Banana Bread strain is a balanced hybrid that develops medium-to-tall plants with short, broad fan leaves and evergreen coloring. Indoor gardens reach maturity in 60 to 75 days, while Banana Bread plants growing outdoors flower in mid-October. Banana Bread is not available as seeds or clones."
20,banana-bread,"Gas Mask, also spelled Gasmask, is a strain created by the team at Pacific NW Roots in Washington. The cultivar is a combination of Cherry Pie and a particular phenotype of Alien Kush, combined again with a Cherry Pie x Starfighter hybrid. Gas Mask reportedly packs a smelly punch with smells of gasoline, skunk, and mellow floral notes. Its sour smoke features citrus and nutty earth flavors, according to consumer reports. Gas Mask is an indica-leaning hybrid that was bred to be a heavy trichome producer. It grows well in indoor and outdoor gardens, requiring some topping to expose lower branches to light and airflow. Cultivators who wish to accentuate Gas Mask's purple coloring should expose the plants to colder temperatures before the flowering phase. The strain reaches maturity in eight to nine weeks or early October, depending on the growing environment. Gas Mask is only available as clones."
21,gas-mask,"Spritzer by Cannarado was named for its heavily fruity and gassy terpene profile. Spritzer also features an aromatic mix of floral, earthy, peppery, and pine notes. The strain is reported to deliver uplifting, energetic effects with a slight boost of euphoria. Spritzer was the mystery strain grown by more than 70 growers in The Grow-Off 2020 competition. In the right conditions, Spritzer grows tall and is easily trainable. Her lineage provides impressive yields with buds bulking a lot in weeks 6-7. Skilled growers can expect great resin development throughout the growth cycle."
22,spritzer,"Special K is a Sagarmatha Seeds creation, first bred in Amsterdam and named after the American cereal. Its genetics are up for debate, but most online sources speculate the strain is a combination of Western Winds, Slyder, Afghani, and Northern Lights. Consumers report Special K boasts a spiced citrus terpene profile that mixes a hint of herbs into the fray. Its flavors include citrus and earth mixed with cream. Special K develops into larger plants that reach up to seven feet tall at full maturity, possibly requiring structural support to hold up its denser buds. The cultivar takes up to 77 days to flower indoors or mid-October when cultivated in a dry, warm outdoor climate. Growers can expect average yields in ideal conditions. Special K seeds are commercially available."
23,special-k,"King Cake by Golden Beaver Farms is a combination of Mystic Gem and Grand Daddy Purple, named for the traditional dessert served in New Orleans during Mardi Gras season. The top reported aromas of the King Cake strain are licorice, herbs, and sweet earth. It is said to taste of berries, basil, and soil. King Cake is a balanced hybrid that produces tall yet branchy plants with a variety of orange, purple, and green coloring. The cultivar thrives in indoor and outdoor gardens though indoor gardens require early topping and pruning to increase air circulation in the lower branches. King Cake flowers in 63 to 70 days indoors and by late October outdoors. In ideal conditions, the strain produces up to 14 ounces of bud per plant, a relatively average yield. King Cake is unavailable as seeds or clones."
24,king-cake,"24K Gold, also known as 24K or Kosher Tangie, is a cross of Tangie and Kosher Kush, bred by DNA Genetics in Amsterdam. The seed bank has identified three 24K Gold phenotypes; one of which has a prominent kush flavor with citrus undertones, and another with a Tangie-leaning flavor. The breeder also claims that 24K Gold produces a strong tangerine scent and kush-flavored buds. 24K Gold won third Place at the Milano Secret Cup in 2018. According to DNA Genetics, the strain has an indica-leaning lineage, but grows tall and produces above-average yields (450 to 550 grams per square meter, or 0.99 to 1.12 pounds per square foot) of resinous buds in a 63-70 day flowering period."
25,24k-gold,"Exotic Genetix created Rainbow Chip as a combination of Sunset Sherbet and Mint Chocolate Chip. The top reported aromas of the Rainbow Chip strain are sugar and berries. It is said to taste of tropical fruit and mint. Rainbow Chip is a balanced hybrid that produces medium-sized plants with broad fan leaves and dense foliage. The strain flowers in 56 to 63 days indoors and early October outside. In ideal conditions, Rainbow Chip is capable of producing heavy yields of fluffy, rainbow-colored buds. Rainbow Chip is unavailable as seeds or clones."
26,rainbow-chip,"Origin 1: Pineapple OG by Wonderbrett Pineapple OG by Wonderbrett is an indica-dominant hybrid of OG Kush and Sour Grape. The top reported aromas of Pineapple OG are diesel, guavas, and sour grapes. And it is said to taste like ripe fruits and gas and provide relaxing, appetite-boosting effects. Origin 2: Pineapple OG by Unknown Pineapple OG is a cross between Pineapple Express and OG Kush created by an unknown breeder. The strain features a tropical, fruity taste and similar aroma with earthy notes, according to sources online. Lab tests from the breeders at Cloneville report up to 15% THC and 0.14% CBD content in Pineapple OG samples. While consumers report that Pineapple OG energizes and uplifts, the cultivar grows short, bushy plants more characteristic of more sedating strains. Pineapple OG grows well in indoor and outdoor conditions, thriving best in warm, humid climates. When grown indoors, breeders report plentiful yields using Screen of Green (ScrOG) methods and a flowering tie of 8-10 weeks. Outdoors, Pineapple OG flowers in mid-October and resists most pests and diseases. This cultivar develops large, tightly coiled, light green buds sporting orange pistils and a coating of sticky white trichomes."
27,pineapple-og,"Harlequin is a sativa-dominant strain known for producing equal ratios of CBD and THCA. First bred by Mr. Green from the House of David Collective, the strain is a cross between three landrace strains, a Nepali Indica and two landrace strains from Thailand and Switzerland, which were then pollinated by a Colombian Gold male. The strain was originally cultivated for making hash/concentrates, but rather than creating a resinous strain that was high in THC, the breeder ended up creating a strain that gained notoriety for its elevated CBD content. Harlequin produces tall plants with large yields and has a flowering period of roughly eight to nine weeks. Outdoors, cultivators can expect to harvest around mid-October in the Northern Hemisphere, mid-April in the Southern Hemisphere. Today, feminized seeds only are available from Elev8 Seeds."
28,harlequin,"The White Angel is a rare hybrid from California-based breeders White Angel Farms. It’s a triple-backcross of two legendary strains — White Widow and SFV OG. The top reported aromas of The White Angel are earth, sour oranges, and diesel. And it is said to taste like pine, sweet citrus, and fuel. The White Angel is a balanced hybrid that’s a cross between White Widow and SFV OG. Only the breeders are privy to the strain’s cultivation details. The White Angel is not available as seeds or clones."
29,the-white-angel,"Sasquatch Sap is a cultivar of unconfirmed origins thought to be a combination of Chem's Sister and Chocolate Diesel. The top reported aromas of the Sasquatch Sap strain are stone fruit, diesel, and earthy chocolate. It is said to taste of pears, fuel, and earth. Sasquatch Sap is a sativa-heavy hybrid that develops lanky, thin-stalked plants that grow up to 6 feet tall. The plant benefits from Screen of Green (ScrOG) training, which produces higher yields from the additional light and air exposure. Sasquatch Sap prefers Mediterranean-like climates with moderate temperatures and mild environmental conditions. The strain flowers in 70 to 84 days indoors and in late October to early November outside. Sasquatch Sap is unavailable as seeds or clones."
30,sasquatch-sap,"Oregon Pinot Noir is a cultivar of unconfirmed origins thought to be a combination of Hawaiian Purple Kush and Pitbull. The top reported aromas of Oregon Pinot Noir are skunk, berries, and spiced grapes. It is said to taste of grapes, berries, and other spiced fruit. Oregon Pinot Noir is a mostly sativa hybrid that produces tall, lanky plants with brilliant purple hues. The strain benefits from the Screen of Green (ScrOG) method in indoor settings, otherwise it requires height management to keep its growth under control. Oregon Pinot Noir flowers in 49 to 63 days indoors and late October outside. Oregon Pinot Noir is unavailable as seeds or clones."
31,oregon-pinot-noir,"Blue Glue is an Equilibrium Genetics creation, first bred when the team crossed a Blue Malawi female with Gorilla 75%, a triple backcross of the iconic GG#4. Blue Glue flowers reek of chocolate and fuel and coats the taste buds with a sweetly spiced mix of berries. During its growing cycle, Blue Glue develops multi-cola plants weighed down by heavily resinous buds. Though little growing information exists online, Blue Glue reportedly produces long, upright branches with short internodal structure."
32,blue-glue,"Gelato is a cross between Sunset Sherbet and Thin Mint Girl Scout Cookies, named in homage to its sweet aroma. Also known as Larry Bird, Gelato (#33) was first cultivated in Northern California's Bay Area and is derived from a deep bank of genetics created by the Cookie Family, the Sherbinskis family, and cultivator Mario Guzman. The cultivators parted ways following its creation, and the cultivator who possesses the most “stable version” of Gelato genetics is up for debate. Cookies cultivates a few phenotypes and descendants of the strain named Gelato #42, Dolce Gelato, and a sun-grown Gelato. Sherbinskis grows four stabilized Gelato phenotypes in its rotation as well: Gelato #41 (Bacio Gelato), Gelato #43 (Gello Gelato), Gelato #47 (Mochi Gelato), and Gelato #49 (Acai Berry Gelato). Per Sherbinskis, the #33 phenotype is no longer in cultivation. The strain is considered a challenge to grow, and each phenotype expresses different growth characteristics. Indoors, it produces relatively short plants with dark, magenta buds that typically mature within 8-9 weeks of entering the 12/12 flowering cycle. Outdoor growers can expect Gelato to reach maturity by mid-October in the Northern Hemisphere, and mid-March in the Southern Hemisphere. Because its seeds aren’t commercially available, potential growers must find certified Gelato clones from Cookies to propagate it. Sherbinksis does not sell clones or seeds of its Gelato phenotypes at this time."
33,gelato,"Mother of Berries, or MOB, is a cross of Freezland, a backcross of the Quebec-created Freisland strain, and a phenotype of Blueberry. The genetics were created in the United States but perfected after they were brought to Dutch breeders T.H. Seeds. It inherits Blueberry’s flavor profile of sweet berries and tests with THC levels above 20%, according to High Times. The cultivar grows short and stocky, resists mold and pests, and is easy to grow thanks to its small and manageable stature. MOB flowers in eight-to-nine weeks indoors or in late September to early October outdoors, where it requires a dry, warm climate. The quick-growing cultivar develops large, dense buds with purplish hues, light green and orange pistils, and a thick coating of trichomes. The yields aren’t stellar but are considered excellent given the small size of the plants. MOB won second place in the Indica category at the Expo Grow Cannabis Cup Irún in 2015."
34,mother-of-berries,"Purple Bud by Sensi Seeds The Dutch breeder Sensi Seeds created its Purple Bud by crossing a trio of legendary strains, Afghani #1, Hindu Kush, and Purple Kush. This indica-leaning strain has deep purple buds that shimmer with trichomes and have a sweet and earthy flavor profile. Purple Bud’s indica lineage is evident by its short and compact plant size, show in the relatively quick flowering time of eight weeks, and sturdy structure. The breeder claims that Purple Bud has heavy yields when given extra care and that exposure to cooler temperatures late in the growing stage will enhance the purple coloring. Purple Bud by Seedsman The breeder Seedsman created its Purple Bud in Oregon by using a Purple Skunk strain, but isn’t disclosing which one. According to the breeder, this sativa-leaning version of Purple Bud Seedsman says it has about 18.3% THC and a fruity flavor profile. The bud has pink and purple highlights when grown in moderate climates and a more blackish purple in cooler climates. Purple Bud also sports loads of glistening trichomes and curly orange stigma hairs. Purple Bud from Seedsman is easy to grow indoors or outdoors, flowering in about nine weeks. If grown outside in the Northern Hemisphere, Purple Bud is ready to harvest in early October. If grown outside in the Southern Hemisphere, this strain should be ready to harvest in early-to-mid April."
35,purple-bud,"Buckeye Purple is a hybrid strain created by Melvanetics. It’s a cross between Granddaddy Purple and Gorilla Grape that produces large, beautiful, trichome-covered bright purple buds. The top reported aromas of the Buckeye Purple strain are floral, earth, and fruity. It is said to taste like sweet, spicy berries. Buckeye Purple is an indica-dominant strain that’s a cross between Granddaddy Purple and Gorilla Grape. Buckeye Purple produces short plants with thick fan leaves thanks to its indica heritage. Buckeye Purple has an average flowering time between 52 and 62 days and is known to produce medium yields in ideal conditions. The Buckeye Purple strain is best grown indoors. Buckeye Purple is not available as seeds or clones."
36,buckeye-purple,"Bred by Canadian seed bank BC Bud Depot, God Bud (also called BC God Bud) is reportedly the result of crossing a Canadian female named God with a Purple Skunk and a Hawaiian landrace. According to the seed bank, God Bud produces a powerfully aromatic flower with full flavor and out-of-body effects. The strain won 1st Place Indica Cup at the 2004 High Times Cannabis Cup. The seed bank reports God Bud grows well both indoors and outdoors, producing dense buds coated in trichomes within a 56-63 day flowering period."
37,god-bud,"Red Diesel is a creation of the Amsterdam-based seed bank Barney’s Farm, which crossed NYC Diesel with California Orange to form this cerebrally stimulating sativa-leaning bud. Pulling from its ancestors, Red Diesel carries an aroma of sweet orange and diesel fuel, translating into a flavor that the breeder described as earthy, citrusy, and all-around dank. One sample of Red Diesel analyzed by the cannabis testing lab MCR Labs had THC levels of 19.49%, along with a notable presence of myrcene, limonene, and other terpenes. According to Barney’s Farm, the strain grows to a medium height and produces high yields of large, resin-coated buds with prominent red stigmas within a 60-to-65-day flowering period. The breeder also notes that the productive side branches may require extra support during the last week of flowering. Red Diesel is suitable for either indoor or outdoor growing conditions. Cultivators can expect up to 600 grams per square meter when growing inside, and even more bountiful yield for outdoor plants harvested in mid-October in the Northern Hemisphere."
38,red-diesel,"Bruce Banner is a powerhouse strain with a reputation as big and green as its comic book namesake. Named for the Incredible Hulk’s alter ego, Bruce Banner was bred by Los Angeles-based Dark Horse Genetics to be one of the most potent cultivars on the market. Using OG Kush and Strawberry Diesel parents, breeders created five phenotypes. Bruce Banner #2 and #4 were quickly dropped, while #1, #3 and #5 were selected for their high potency. When grown indoors, breeders can expect a flowering period of 9-10 weeks, as well as a high resistance to disease, mold and pests. This tall-growing plant produces long, fluffy buds that practically glisten with trichome density."
39,bruce-banner,"Crystal Coma is a sativa-leaning cross of legendary strains Cheese and Skunk. The initial breeder is unknown. As its heritage would suggest, Crystal Coma’s flavor profile is sweet, cheesy, skunk with some spicy lemon fuel tastes thrown in. Crystal Coma is a sativa-dominant strain that’s a cross between Cheese and Skunk. It produces tall, branchy plants that may need trimming, thanks to its sativa heritage. Crystal Coma can be grown indoors or outside in warm, semi-humid climates. It flowers in about 56 to 63 days indoors or in late September outside. Yields tend to be around average, sometimes slightly better. Crystal Coma is not available as seeds or clones."
40,crystal-coma,"Green House Seeds created Kalashnikova as a combination of two weed powerhouses — White Widow and AK47. The bud is named for the original designer of the AK47, or Kalashnikov, rifle. The top reported aromas of the Kalashnikova strain are citrus, spices, and earth. It is said to taste of mango, spiced honey, and grapefruit. Kalashnikova is a mostly indica hybrid that produces medium-size plants with dense foliage. The strain, which is resistant to most environmental hardships and disease, thrives both indoors and outdoors. Kalashnikova flowers indoors in 56 days, and outdoor gardens reach maturity in mid-to-late October. In ideal conditions, Kalashnikova bears out its genetics by producing a stupendous yield of up to 35 ounces of highly resinous flower per plant. Kalashnikova is available as seeds only. Clones may be available directly from cultivators growing this strain."
41,kalashnikova,"Sunshine #4 is an award-winning hybrid from Bodhi Seeds. The top reported aromas are sweet citrus with dank herbal notes. The top reported flavors are similar with a grassy, herbal exhale. Sunshine #4 was the winner of Best Hybrid Flower at the 2015 High Times Medical Cup in Michigan. Sunshine #4 is a cross between Sunshine Daydream and renowned favorite Chemdawg #4. This strain can be grown indoors or out in a hot, humid climate. When grown indoors, Sunshine #4 has a flowering cycle of 70 days, and plants may be fairly tall, as is typical of sativa plants. Sunshine #4 is available as seeds."
42,sunshine-4,"MK Ultra is a hybrid first created by Amsterdam seed bank T.H.Seeds. The strain was produced by crossing an OG Kush female from Los Angeles’ JoshD Farms with a G13 male from Barney’s Farm in Amsterdam. The strain was named after CIA experiments conducted during the 1950s code named MK Ultra, during which experiments were performed on humans to develop drugs to aid with interrogation. The seed bank reports the strain delivers a strong, hypnotic high, and a long- lasting piney aroma. T.H. Seeds founder Adam Dunn said the strain is the first European cross to use an American OG Kush. The seed bank reports MK Ultra mainly has Indica lineage and grows short, producing frosty colas with high resin yields in a 56-63 day flowering cycle. The strain won 1st and 2nd Place Indica Cups at the 2003 and 2004 High Times Cannabis Cups, respectively."
